நடிகர்,அறிமுகஆண்டு,அறிமுகதிரைபடம்,பாலினம்,குறிப்பிடத்தக்க படங்கள்,பிறப்பு,அகவை,பிறந்த இடம்,பணி,திரைப்பட எண்ணிக்கை
வினய்,2007,உன்னாலே உன்னாலே,ஆண்,"உன்னாலே உன்னாலே, வானா,ஜெயம் கொண்டான்,டேம் 999",1979,44,"பெங்களூர், இந்தியா",நடிகர்,15
கார்த்திக் சிவகுமார் ,2007,பருத்திவீரன்,ஆண்,"பருத்தி வீரன்,ஆயிரத்தில் ஒருவன்,பையா, நான் மகான் அல்ல,சகுனி, கொம்பன்,காற்று வெளியிடை",1977,44,"சென்னை, தமிழ்நாடு, இந்தியா",நடிகர்,30
பிரித்வராஜ்,2005,கனா கண்டேன்,ஆண்,"வெள்ளித்திர, நந்தனம், வெள்ளி நட்சத்ரம், சத்யம்,கனா கண்டேன், சத்தம் போடாதே, கண்ணாமூச்சி ஏனடா, அபியும் நானும்",1982,39,"திருவனந்தபுரம், கேரளா","நடிகர்,தயாரிப்பாளர், பின்னணி பாடகர்",29
ஜீவா,2003, ஆசை ஆசையாய்,ஆண்,"ராம்,டிஷ்யூம்,ஈ,ஆசை ஆசையாய்",1984,37,"சென்னை, இந்தியா",நடிகர்,37
விஷால்,2004,செல்லமே,ஆண்,"சண்டக்கோழி, தாமிரபரணி, மலைக்கோட்டை, தீராத விளையாட்டுப் பிள்ளை, சத்தியம்,  நான் சிகப்பு மனிதன்",1977,44,"சென்னை, இந்தியா","பொதுச்செயலாளர், நடிகர், தயாரிப்பாளர் ",45
நந்தா,2002,மௌனம் பேசியதே,ஆண்,"மௌனம் பேசியதே, புன்னகை பூவே, ஆனந்தபுரத்து வீடு, ஈரம், புதிய திருப்பங்கள்,வந்தான் வென்றான்",1979,42,"கோயமுத்தூர், தமிழ்நாடு", நடிகர்,26
ரமேஷ்,2005,ஜித்தன்,ஆண்,"ஜித்தன், புலி வருது, பிள்ளையார் தெரு கடைசி வீடு, ஒஸ்தி, ஒரு நடிகையின் வாக்குமூலம், ஜித்தன் 2, ஒரு நடிகையின் வாக்குமூலம்",1982,38,"சென்னை, தமிழ்நாடு"," நடிகர், தயாரிப்பாளர்",15
பரத்,2003,பாய்ஸ்,ஆண்,"கூடல் நகர், முனியாண்டி விலங்கியல் மூன்றாமாண்டு, சேவல், கண்டேன் காதலை, கதை திரைக்கதை வசனம் இயக்கம், ஐந்து ஐந்து ஐந்து,  அழகாய் இருக்கிறாய் பயமாய் இருக்கிறது",1983,38,"சென்னை,, தமிழ்நாடு, இந்தியா",நடிகர்,33
ஆர்யா,2005,அறிந்தும் அறியாமலும்,ஆண்,"ஓரம் போ, நான் கடவுள், மதராசபட்டினம், பாஸ் என்கிற பாஸ்கரன், சிக்கு புக்கு, வேட்டை, சேட்டை, ராஜா ராணி, இரண்டாம் உலகம், ஆரம்பம்",1980,41,"சென்னை,, தமிழ்நாடு, இந்தியா","நடிகர்,தயாரிப்பாளர்",39
ஜெயம் ரவி,2003,ஜெயம்,ஆண்,"ஜெயம் ,எம். குமரன் தா/பெ மகாலஷ்மி,
உனக்கும் எனக்கும், தனி ஒருவன்",1980,41,"சென்னை,, தமிழ்நாடு, இந்தியா","நடிகர்,தயாரிப்பாளர்",44
தனுஷ்,2003,துள்ளுவதோ இளமை,ஆண்,"திருடா திருடி , சுள்ளான் , புதுப்பேட்டை , பொல்லாதவன் , ஆடுகளம் , 3 , வேலையில்லா பட்டதாரி , மாரி , அசுரன் ",1983,38,"தேனி, தமிழ்நாடு","தயாரிப்பாளர், பின்னணிப் பாடகர், பாடலாசிரியர், திரைக்கதை ஆசிரியர், திரைப்பட இயக்குனர்",40
சிறீகாந்த்,2001,ரோஜாக் கூட்டம்,ஆண்,"ரோஜாக்கூட்டம், ஏப்ரல் மாதத்தில், பார்த்திபன் கனவு, வர்ணஜாலம், கனா கண்டேன், பம்பரக்கண்ணாலே, ஒரு நாள் ஒரு கனவு",1979,42,"சென்னை,, தமிழ்நாடு, இந்தியா",நடிகர்,38
ஷாம்,2000,12B,ஆண்,"குஷி, 12B, ஏய் நீ ரொம்ப அழகாய் இருக்கே, அன்பே அன்பே, லேசா லேசா, இயற்கை, உள்ளம் கேட்குமே",1978,43,"மதுரை, தமிழ்நாடு, இந்தியா",நடிகர்,20
சிம்பு,2002,ஒரு தாயின் சபதம்,ஆண்,"காதல் அழிவதில்லை, அலை, மன்மதன், தொட்டி ஜெயா, விண்ணைத்தாண்டி வருவாயா, போடா போடி",1983,38,"சென்னை , இந்தியா","நடிகர், பின்னணிப்பாடகர், திரைக்கதை எழுத்தாளர், இயக்குநர், பாடலாசிரியர்",33
மாதவன்,2000,அலைபாயுதே,ஆண்,"அலைபாயுதே,கன்னத்தில் முத்தமிட்டால்,ஆய்த எழுத்து,மின்னலே, அன்பே சிவம் ,இறுதிச்சுற்று , விக்ரம் வேதா",1970,51,"ஜாம்ஷெட்பூர், ஜார்க்கண்ட்"," நடிகர், எழுத்தாளர், படத்தயாரிப்பாளர், நிகழ்ச்சித் தொகுப்பாளர் ",39
சூர்யா,1997,நேருக்கு நேர்,ஆண்,"நேருக்கு நேர் , நந்தா , காக்க காக்க , பிதாமகன் , பேரழகன் , வாரணம் ஆயிரம் , ஏழாம் அறிவு , 24 ",1975,46,"சென்னை, தமிழ்நாடு"," நடிகர், தயாரிப்பாளர் ,தொலைக்காட்சித் தொகுப்பாளர்",33
அஜித் குமார்,1993,அமராவதி,ஆண்,"காதல் கோட்டை, காதல் மன்னன், வாலி, அமர்க்களம், தீனா, பூவெல்லாம் உன் வாசம், வில்லன், அட்டகாசம், வரலாறு, கீரிடம், பில்லா, அசல், மங்காத்தா, பில்லா 2",1971,50,"ஐதராபாத் , இந்தியா",நடிகர்,49
